id,text,category,topic,emotion,urgency
1,modemim bağlantı kuramıyor sürekli kesiliyor,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
2,faturamı nasıl ödeyebilirim,kategori_belirtilmemis,fatura_odeme,notr,orta
3,televizyon kanallarım çekmiyor ekranda karlanma var,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
4,şirketimiz için yeni hat almak istiyorum bilgi verir misiniz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
5,telefonum çalındı lütfen acil hattı kapatın,mobil_hizmetler,cihaz_kayip_calinti,memnun_degil,cok_yuksek
6,internet paketimi yükseltmek istiyorum daha hızlı olsun,sabit_internet,paket_degisikligi,notr,orta
7,tv paketimi iptal etmek istiyorum paramı geri alabilir miyim,tv_hizmetleri,iptal_iade,memnun_degil,orta
8,modemim arızalandı hiç internet yok iş görüşmelerim var acilen,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
9,faturamda anlamadığım bir ücretlendirme var konuşmadığım numaralar var,mobil_hizmetler,fatura_odeme,memnun_degil,orta
10,firma adımız değişti faturaları yeni adımıza kesebilir miyiz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
11,evde internet hızı çok düşük sürekli kopuyor artık dayanamıyorum,sabit_internet,teknik_destek,memnun_degil,yuksek
12,yeni aldığım telefonuma sim kart takamıyorum yardımcı olabilir misiniz,mobil_hizmetler,cihaz_islemleri,notr,orta
13,güncel kampanyalarınız hakkında bilgi almak istiyorum,kategori_belirtilmemis,bilgi_isteme,notr,dusuk
14,telefonumun ekranı kırıldı garanti kapsamında değiştirebilir miyim,mobil_hizmetler,cihaz_islemleri,notr,dusuk
15,tv kutum çalışmıyor siyah ekran veriyor yayın yok,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
16,internet kesilmeden çalıştığı için çok teşekkür ederim,sabit_internet,teknik_destek,memnun,dusuk
17,fatura ödememi geciktirdim ceza uygulanacak mı,kategori_belirtilmemis,fatura_odeme,notr,orta
18,kurumsal hatlarımızı birleştirmek istiyoruz tek fatura olsun,kurumsal_hizmetler,paket_degisikligi,notr,orta
19,tv yayınım sürekli donuyor kasıyor izleyemiyorum,tv_hizmetleri,teknik_destek,memnun_degil,yuksek
20,cep telefonumu çaldırdım hattımı acilen dondurun,mobil_hizmetler,cihaz_kayip_calinti,memnun_degil,cok_yuksek
21,internet hızım yavaşladı sözleşmede belirtilen hızın çok altında,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
22,faturamı ödedim ama sistemde görünmüyor ne yapmalıyım,kategori_belirtilmemis,fatura_odeme,notr,orta
23,müşteri temsilciniz çok yardımcı oldu teşekkür ederim,kategori_belirtilmemis,bilgi_isteme,memnun,dusuk
24,modem kurulumunu nasıl yapacağım anlatır mısınız,sabit_internet,teknik_destek,notr,orta
25,kredi kartımla ödeme yapamıyorum sistem hata veriyor,kategori_belirtilmemis,fatura_odeme,memnun_degil,orta
26,şirketimiz için internet paketi önerileriniz neler,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
27,telefonumdan hat kopyalanmış acil yardım edin dolandırıcılık var,mobil_hizmetler,cihaz_kayip_calinti,memnun_degil,cok_yuksek
28,internette sürekli kopma sorunları yaşıyorum çok sinir bozucu,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
29,ev adresimi değiştirmek istiyorum yeni adrese taşınacağım,sabit_internet,bilgi_isteme,notr,dusuk
30,televizyon kanallarım gitmiş yardım edin film izleyecektik,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
31,hizmetinizden çok memnunum teşekkürler,kategori_belirtilmemis,bilgi_isteme,memnun,dusuk
32,firma hatlarımız için indirim yapabilir misiniz toplu hat almayı düşünüyoruz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
33,internet modemim arızalandı değiştirebilir miyiz yenisiyle,sabit_internet,cihaz_islemleri,memnun_degil,yuksek
